pl_name,VAE_anomaly,ESI_equal,CDHS,SEPHI_simple,pl_rade,pl_dens,pl_insol,st_teff,pl_orbeccen
Kepler-701 b,0.005567031282652444,0.0,0.0,0.0,2.84,0.3684210526315789,75.623,5343.0,0.0
Kepler-1851 b,0.005561473535381038,0.0,0.0,0.0,3.90012032,0.24319419237749548,85.78,5982.0,0.0
Kepler-1966 b,0.005554626049614909,0.0,0.0,0.0,1.10479327,1.0272232304900182,68.28,5009.0,0.0
Kepler-711 b,0.005545803764899436,0.0,0.0,1.412e-320,3.41,0.2885662431941924,15.569,5222.0,0.0
K2-3 c,0.005521157020120033,0.6577577884642354,0.034140086552328155,0.003979876125742228,1.582,0.6715063520871144,3.17,3844.0,0.048
Kepler-648 b,0.005520182457756556,0.0,0.0,0.0,3.22,0.3139745916515427,47.336,5741.0,0.0
Kepler-293 b,0.00549647003814277,0.0,0.0,0.0,3.07,0.33212341197822143,28.944,5804.0,0.0
Kepler-1423 b,0.00547435291233559,0.0,0.0,0.0,1.06,1.0054446460980038,71.16,4939.0,0.0
Kepler-1577 b,0.0054738253813384034,0.0,0.0,0.0,1.13,1.043557168784029,57.751,4862.0,0.0
Kepler-154 c,0.0054732143044577495,0.0,0.0,6.317236314021032e-177,2.95,0.3502722323049002,12.071,5690.0,0.0
Kepler-152 b,0.005466772170341806,0.0,0.0,0.0,2.79,0.3756805807622504,21.084,5088.0,0.0
Kepler-647 c,0.0054589422673365,0.0,0.0,0.0,4.00135002,0.23593466424682397,69.0,5906.74,0.0
Kepler-863 b,0.005457924806703275,0.0,0.0,0.0,2.9,0.3575317604355717,117.828,5678.0,0.0
Kepler-1020 b,0.005445682480640472,0.0,0.0,0.6179273565968643,2.28,0.49001814882032674,2.339,5227.0,0.0
Kepler-1492 b,0.005443104193681765,0.0,0.0,2.7668435033787464e-158,1.49,0.852994555353902,11.523,4712.0,0.0
K2-83 c,0.0054423415459837424,0.5735327912028543,0.03590318961371674,8.915503890972707e-52,1.483,0.8566243194192378,7.42,3910.0,0.06
Kepler-119 b,0.005429172601894929,0.0,0.0,0.0,3.6,0.26860254083484575,745.285,5595.0,0.0
Kepler-724 b,0.005425276846518622,0.0,0.0,0.0,3.29,0.30308529945553536,339.401,5437.0,0.0
Kepler-766 b,0.0054222274975589254,0.0,0.0,0.0,3.39,0.29219600725952816,227.15,5992.0,0.0
HD 47186 b,0.005410329905063682,0.19201617875453666,0.0825719933749848,0.0,5.02,0.1753176043557169,441.6068,5657.0,0.04
Kepler-332 b,0.005403384483497267,0.0,0.0,0.0,1.17,1.0653357531760437,53.712,4955.0,0.0
Kepler-1468 d,0.005397890364315556,0.0,0.0,0.0,3.33187146,0.29945553539019965,52.77,5794.0,0.0
Kepler-258 b,0.005397518413355438,0.0,0.0,0.0,4.06,0.23049001814882034,27.791,4942.0,0.0
Kepler-495 b,0.005394133175131485,0.0,0.0,0.0,5.23,0.16588021778584394,310.021,5346.0,0.0
Kepler-1716 b,0.0053829244391375985,0.0,0.0,7.430709506967025e-33,2.4247685,0.45190562613430135,6.3,4894.0,0.0
