pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass_est,SEPHI_simple,recon_error,latent_dist,VAE_anomaly,mass_est_planet
Kepler-1536 b,3.14,,0.32123411978221417,0.193,4434.0,0.0,166.0,0.0,0.0,0.0,41.658077254140714,0.8945752536936123,0.98255175,1.2786204356411175,0.0366848259282802,9.945133372050817
Kepler-296 c,2.0,,0.2177858439201452,14.8,3740.0,0.33,606.0,0.2963355662756442,0.046209226582568395,0.031361863546502625,7.298073678030735,2.0908257702175272e-285,1.1749773,1.1883558054632044,0.03551528678775153,1.7422867513611615
TOI-269 b,2.77,8.8,0.41379310344827586,19.0,3514.0,0.425,531.0,0.28176790954912306,0.03644088676654829,0.025324571245388967,36.83928263320809,0.0,1.6374485,1.078319574417985,0.035339974725640905,8.794730896551725
Gliese 12 b,0.93,0.95,1.161524500907441,1.62,3328.0,0.24,314.6,0.5784050653431287,0.46119653290888085,0.02035582625420673,3.9135044329598463,0.8910059857913014,1.8401045,0.9964198133739611,0.03443278877992888,0.9342803629764067
TOI-2406 b,2.86,15.6,0.159198103466613,6.69,3100.0,0.17,449.0,0.3411984531453087,0.10551122884938909,0.014265106587592006,15.600000000000001,5.6845270327828793e-39,1.1611935,1.1365518207328382,0.034162517769278644,3.7242256683503516
Kepler-102 f,0.861,4.3,6.715063520871143,10.0,4909.0,0.1,495.0,0.40915840846979107,0.08523544409198948,0.0625901586792768,17.9534612585067,6.593250381947603e-112,2.0458345,0.8958018362705927,0.033081002642550636,4.286073157350272
HD 216520 c,3.03,,0.3375680580762251,1.2669,5103.0,0.12,295.22,0.5506967939822829,0.5185128044693756,0.06777261313243049,39.33488095847061,0.9865528630848313,0.37460655,1.263067111155651,0.03296576201077228,9.390511110707802
Gl 49 b,2.24,,0.49909255898366606,6.0291,3805.0,0.363,435.99,0.38232912944966485,0.12704962187723434,0.033098252925143894,23.497072629085842,6.158430326494885e-29,1.2769389,1.0251171158146881,0.032050343048046916,5.609512885662434
GJ 3341 b,2.46,,0.4428312159709619,3.6578,3526.0,0.31,377.62,0.4115467123956577,0.20083301721283203,0.025645135438368386,27.61418042439924,1.649424186011414e-05,1.219619,1.0270344082855942,0.03178311284628393,6.592399970961887
GJ 9689 b,3.07,,0.33212341197822143,4.8635,3836.0,0.29,453.04,0.37344458721014123,0.14877267058925706,0.03392637709033998,40.25346096141755,5.624022529042143e-15,0.91551465,1.0823492568779562,0.03147827360930692,9.609805932849364
Kepler-1634 b,3.19,,0.31578947368421056,0.544,5474.0,0.0,282.0,0.0,0.0,0.0,42.939630988211526,0.987734015467762,0.57021725,1.1459555474116305,0.03115183177103611,10.251081789473686
Kepler-441 b,1.64,,0.7531760435571688,0.21,4340.0,0.1,189.0,0.5608133239214789,0.21944442019743784,0.047390073195483454,13.916071494991721,0.8923205751897849,1.1575902,1.0145515860531984,0.03113503458203857,3.322217350272232
Kepler-176 d,2.51,1.72,0.1088929219600726,15.536,5232.0,0.0,501.0,0.0,0.0,0.0,7.212891930449573,4.25084e-319,0.4353396,1.1696438566917389,0.03099579214861034,1.7219511070780396
Kepler-132 e,1.18,,1.0689655172413792,6.1,6023.0,0.0,414.0,0.0,0.0,0.0,7.356958854492012,5.897013019032152e-30,0.69793975,1.1068436435486926,0.03088837008226832,1.7563445517241376
Kepler-1600 b,3.13,,0.32304900181488205,0.4,5214.0,0.0,209.0,0.0,0.0,0.0,41.494451234167705,0.9872472962001837,0.64881426,1.1105144392212063,0.030709329877425712,9.906070537205082
K2-138 g,3.013,4.32,0.1633393829401089,9.29,5356.3,0.059,445.0,0.4097269190364258,0.09553425985930358,0.07453918897257021,18.714443397351634,4.483923900667932e-93,0.22611241,1.18988602782704,0.03034685895852803,4.467744260852995
Kepler-436 b,2.73,,0.38656987295825773,1.69,4651.0,0.19,322.0,0.5024940869319247,0.40357860083706953,0.05569802853020172,32.94614117139229,0.9839027353525017,0.5007461,1.1231940518256327,0.030209516327980298,7.865311834845735
Kepler-296 b,1.61,,0.544464609800363,6.5,3740.0,0.33,495.0,0.4050845567750219,0.12468933228249823,0.031361863546504755,9.517785067851811,6.19680494449587e-36,1.2632154,0.9462137604802857,0.03002981526399203,2.2722038112522696
TOI-782 b,2.734,19.1,0.223125510576264,5.91,3370.0,0.19,435.0,0.367833358040607,0.12519315904190362,0.02147780092963273,19.1,2.626831339329986e-27,0.93963355,1.013132154739976,0.029904174718023247,4.559789119582803
Kepler-1965 b,1.35415138,,0.9637023593466424,13.8,5852.0,0.0,492.0,0.0,0.0,0.0,10.023818203601618,1.2450994555329172e-242,0.50040686,1.1003862096307608,0.0296453659476742,2.39301032363658
