pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt
"Kepler-1998 b",0.60000000,,3.970000,468.3100,5640.00,0.000000,1187.00
"Kepler-921 b",2.87000000,,2.000000,15.0070,5663.00,0.000000,492.00
"Kepler-1137 b",2.20000000,,2.830000,197.8460,6807.00,0.000000,1020.00
"KMT-2021-BLG-0171L b",3.35000000,1.12000000000000e+01,1.640000,,5200.00,,
"HD 224538 b",12.70000000,2.07573732611700e+03,5.570000,0.5230,6097.00,0.476000,236.74
"K2-63 c",3.90000000,,1.340000,139.0000,6771.00,,958.85
"KOI-4978 b",0.70000000,,4.340000,,5050.28,,
"TOI-3364 b",12.22899794,5.30773439690000e+02,1.600000,425.0000,5706.00,0.000000,1264.00
"Kepler-569 b",3.16000000,,1.760000,19.3140,5616.00,0.000000,526.00
"Kepler-1539 b",2.70000000,,2.160000,1.5720,5176.00,0.000000,301.00
"HIP 4845 b",3.89000000,,1.340000,2.9859,4010.00,0.250000,358.21
"KMT-2021-BLG-0240L b",9.60000000,6.67439654700000e+01,0.415000,,,,
"Kepler-1482 b",1.01000000,,5.390000,86.4990,5381.00,0.000000,678.00
"HATS-53 b",15.02006000,1.89108850000000e+02,0.303000,471.6100,5644.00,0.330000,1312.00
"TOI-5422 b",9.10169233,8.89919539600000e+03,65.800000,580.0000,5820.00,0.094000,1369.00
"Kepler-117 b",8.05900000,2.98750000000000e+01,0.300000,157.5410,6150.00,0.049300,984.00
"Kepler-1976 b",12.21000000,,,349.4000,5712.00,0.000000,1103.00
"Kepler-1676 b",3.37695960,,1.610000,33.4500,5878.30,0.000000,782.00
"LHS 1678 d",0.98100000,,5.280000,9.1000,3490.00,0.036000,462.95
"Kepler-289 c",11.23000000,1.57180000000000e+02,0.660000,4.8820,5990.00,0.000000,394.00
"WASP-161 b",12.81188700,7.91396700000000e+02,2.200000,990.0000,6400.00,,1557.00
"Kepler-449 c",2.76400000,,2.100000,45.0900,5649.18,0.050000,661.00
"Kepler-169 e",2.20000000,,2.830000,28.5480,4997.00,0.000000,595.00
"KMT-2018-BLG-0030L b",13.60000000,4.60851190150000e+02,1.010000,,,,
"HD 86950 b",13.00000000,,2.860000,4.9065,4805.00,0.170000,416.76
"HD 127506 b",5.67000000,,0.824000,2.6404,4595.32,0.240000,354.80
"TOI-1347 c",1.60000000,6.40000000000000e+00,4.100000,183.6642,5464.00,0.000000,1000.00
"Kepler-54 c",1.23000000,7.00000000000000e-01,2.376368,3.0700,3705.00,0.000000,395.00
"Kepler-1150 b",1.02000000,,5.390000,153.7410,4754.00,0.000000,1432.00
"Kepler-390 c",0.79000000,,4.660000,41.3510,5166.00,0.000000,630.00
"Kepler-1092 b",2.07000000,,3.060000,17.0160,5862.00,0.000000,508.00
"Kepler-259 c",2.70000000,,2.160000,15.0540,5938.00,0.000000,530.00
"Kepler-1765 b",2.49508857,,2.400000,126.4800,5692.00,0.000000,855.00
"Kepler-138 b",0.64000000,7.00000000000000e-02,1.700000,9.9000,3841.00,0.020000,452.00
"HD 219415 b",13.80000000,,0.665000,0.4071,4820.00,0.400000,221.26
"HD 175607 b",,2.45617792929600e+03,,,5392.00,0.110000,
"K2-285 d",2.48000000,6.50000000000000e+00,,24.6100,4975.00,0.000000,619.90
"HD 140901 c",13.40000000,5.72091132600000e+02,1.310000,0.0057,5610.00,0.770000,76.76
"Kepler-1536 b",3.14000000,,1.770000,0.1930,4434.00,0.000000,166.00
"TOI-1824 b",2.74382690,1.60000000000000e+01,4.240000,14.6287,5165.00,0.000000,528.67
"Kepler-509 b",2.49000000,,2.410000,28.4810,6060.00,0.000000,584.00
"Kepler-431 b",0.76400000,,4.560000,577.5450,6004.00,0.000000,1032.00
"GJ 649 b",10.80000000,,0.358000,0.0352,3734.00,0.083000,120.74
"DMPP-4 b",3.53000000,,1.520000,1222.8464,6400.00,0.063000,1645.69
"Kepler-184 d",2.49000000,,2.410000,18.5570,5788.00,0.000000,559.00
"Kepler-813 b",2.14000000,,2.930000,56.0400,5743.00,0.000000,817.00
"Kepler-1140 b",2.77000000,,2.090000,13.0510,4850.00,0.000000,500.00
"TOI-1799 b",1.64200000,4.00000000000000e+00,7.510000,164.2600,5690.00,0.000000,922.72
"K2-65 b",1.58000000,,4.350000,45.0000,5213.00,,723.51
"Kepler-104 d",3.58000000,,1.668541,16.0120,5711.00,0.000000,515.00
"K2-72 d",1.01000000,,5.390000,5.4000,3360.47,0.110000,416.92
"Kepler-11 g",3.33000000,2.50000000000000e+01,4.000000,5.6500,5663.00,0.150000,376.00
"HD 148164 b",13.70000000,,0.835000,2.1682,6032.00,0.587000,337.89
"TOI-1269 c",2.22999162,,2.770000,54.6767,5554.02,,757.00
"Kepler-402 b",1.22000000,,5.990000,619.8440,6090.00,0.000000,1311.00
"K2-184 b",1.47000000,,4.770000,14.0501,5245.00,,533.00
"Kepler-372 d",1.69000000,,3.980000,53.4710,6509.00,0.000000,660.00
"2MASS J11550485-7919108 b",12.10000000,6.35656814000000e+03,19.700000,0.0000,3021.00,,2506.00
"HD 25723 b",13.30000000,,1.860000,39.6333,4766.00,0.040000,698.40
"TOI-7155 b",2.40821473,,2.510000,116.2530,4673.03,,914.00
"TOI-941 b",6.51165317,,0.689000,220.1422,5745.88,,982.42
"Kepler-1499 b",1.19000000,,5.900000,7.3710,5097.00,0.000000,409.00
"HD 187123 b",14.20000000,,0.319000,738.4255,5790.00,0.010300,1450.90
"Kepler-1073 b",2.30000000,,2.660000,128.5500,5792.00,0.000000,905.00
"HD 1666 b",12.70000000,,5.470000,6.0778,6317.00,0.630000,436.47
"OGLE-TR-10 b",14.01100000,1.97046000000000e+02,0.400000,818.5035,5950.00,0.000000,1702.00
