pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass,SEPHI_simple,VAE_anomaly
OGLE-TR-111 b,11.421971,174.799,0.11796733212341198,204.9529,5040.0,0.0,1019.0,0.0,0.0,0.0,736.3317488418214,0.0,0.010186672423143327
TOI-451 c,2.93,3.7,0.14700544464609802,93.0,5490.0,0.0,865.0,0.0,0.0,0.0,15.489053876133116,0.0,0.0101827164381736
Kepler-799 c,2.78068551,,0.37749546279491836,150.25,5588.0,0.0,893.0,0.0,0.0,0.0,33.99820332228839,0.0,0.01018102772540064
Kepler-315 b,3.77,,0.2540834845735027,6.674,5796.0,0.0,409.0,0.0,0.0,0.0,57.02812550996182,1.1096874041046247e-38,0.010173067008015898
Kepler-894 b,2.78,,0.37749546279491836,119.881,5603.0,0.0,896.0,0.0,0.0,0.0,33.97306524407332,0.0,0.010168685773342826
Kepler-525 b,2.63,,0.4065335753176044,176.232,5573.0,0.0,832.0,0.0,0.0,0.0,30.977921453731273,0.0,0.010168647581672616
HATS-66 b,15.815899,1694.0339,0.4246823956442831,2637.0,6626.0,0.064,1998.0,0.11569431066252168,0.0001920399739597733,0.108457551958112,7037.761038291663,0.0,0.010165420422650116
Kepler-568 b,2.26,,0.49546279491833034,8.37,3768.0,0.0,429.0,0.0,0.0,0.0,23.95658860096664,3.1705767384397603e-71,0.010164861983846394
Kepler-578 b,2.0,,0.5807622504537205,496.898,5334.0,0.0,1774.0,0.0,0.0,0.0,19.46152980808196,0.0,0.01016330266637308
Kepler-183 c,2.27,35.7,3.049001814882033,108.717,5888.0,0.0,857.0,0.0,0.0,0.0,149.39080371607142,0.0,0.010156745934225202
Kepler-576 b,3.27,,0.30490018148820325,16.817,5672.0,0.0,541.0,0.0,0.0,0.0,44.65700059520605,0.0,0.01014955218343344
Kepler-985 b,2.98,,0.3448275862068966,2.4,5434.0,0.0,323.0,0.0,0.0,0.0,38.22428791484948,0.5199854125125787,0.010143924075123564
Kepler-1767 b,3.01299077,,0.3411978221415608,5.66,5243.0,0.0,393.0,0.0,0.0,0.0,39.092033609601394,5.291408911167438e-24,0.010142049915042847
TOI-1180 b,3.072,10.0,0.3502722323049002,36.97,4738.0,0.0,638.18,0.0,0.0,0.0,42.53612793603402,0.0,0.010136828838363225
WASP-5 b,12.184,502.15,0.29764065335753176,1559.4762,5700.0,0.038,1706.0,0.14016005014392063,0.00036577943262561745,0.08372068173318223,2255.0206825360224,0.0,0.010132204865124589
TOI-1803 b,2.99,10.32,0.39025589836660624,58.0,4687.0,0.0,747.0,0.0,0.0,0.0,43.697002852407756,0.0,0.010123165436936641
17 Sco b,12.9,,0.6370235934664247,85.4316,4157.0,0.06,847.51,0.2483243417460391,0.00938207073780267,0.04250146925255076,5728.135171377251,0.0,0.01011278923033642
Kepler-11 e,4.19,8.0,0.10526315789473684,32.34,5663.0,0.012,582.0,0.3253433470364199,0.02623286651754442,0.08273227547149137,32.4344899581799,0.0,0.010110402992057834
HD 260655 b,1.24,2.14,1.1252268602540836,42.2,3803.0,0.039,709.0,0.45031657822375093,0.02760813477990737,0.033044825559648223,8.986565734944831,0.0,0.010107997764345811
Kepler-1446 b,0.82,,0.8620689655172414,1213.333,4865.0,0.0,1539.0,0.0,0.0,0.0,1.9910042048557433,0.0,0.0100973234265111
Kepler-1985 b,2.27,,0.49183303085299457,382.68,5370.0,0.0,1129.0,0.0,0.0,0.0,24.098159408961518,0.0,0.010092557290168192
Kepler-598 c,3.02420941,,0.33938294010889297,3.7,5245.0,0.0,367.0,0.0,0.0,0.0,39.32006238118018,9.412369560097055e-06,0.010089188886569513
Kepler-610 b,4.19,,0.22141560798548096,139.072,5943.0,0.0,888.0,0.0,0.0,0.0,68.2242719809991,0.0,0.010085856662941154
Kepler-444 d,0.53,0.2,1.4337568058076227,109.638,5046.0,0.18,783.0,0.2769522508469185,0.007248870677310708,0.06624993321578274,0.894111561272608,0.0,0.010082473191399249
Kepler-591 b,3.39,,0.29219600725952816,5.615,5677.0,0.0,436.0,0.0,0.0,0.0,47.68282538846247,1.9651179502533584e-23,0.010079480750520444
Kepler-154 d,3.84,,0.2486388384754991,53.002,5769.0,0.0,657.0,0.0,0.0,0.0,58.97273242426996,0.0,0.010076711519323461
